date,to,from
2020-01-24,New South Wales,Hubei
2020-02-28,New South Wales,Iran
2020-01-28,Queensland,Hubei
2020-01-25,Victoria,Hubei
2020-03-01,Kraainem,Italy
2020-02-03,Flanders,Hubei
2020-02-25,Sao Paulo,Lombardy
2020-03-03,Sao Paulo,Italy
2020-03-03,Sao Paulo,United Kingdom
2020-03-04,Sao Paulo,USA
2020-01-27,Sihanoukville,Hubei
2020-02-16,British Columbia,Iran
2020-03-05,British Columbia,Grand Princess
2020-03-04,British Columbia,Hong Kong
2020-03-05,British Columbia,Europe
2020-01-23,Ontario,Hubei
2020-03-01,Usti nad Labem,Italy
2020-01-29,England,Hubei
2020-01-29,Finland,Hubei
2020-03-01,Finland,Italy
2020-03-04,Finland,Iran
2020-02-25,Helsinki,Lombardy
2020-03-03,Helsinki,Italy
2020-01-29,Ile De France,Hubei
2020-02-25,Baden-Wuerttemberg,Lombardy
2020-03-02,Bavaria,Iran
2020-01-19,Zhejiang,Hubei
2020-01-27,Kerala,China
2020-01-29,Lazio,Hubei
2020-02-27,Mexico City,Lombardy
2020-01-13,Kathmandu,Hubei
2020-02-27,Auckland,Iran
2020-02-27,Lagos,Italy
2020-01-08,Nonthaburi,Hubei
2020-03-04,Gilgit Baltistan,Iran
2020-03-06,Panama City,Comunitat Valenciana
2020-01-23,Singapore,Hubei
2020-02-29,Zurich,Lombardy
2020-02-26,Geneva,Lombardy
2020-01-31,Taiwan,Hubei
2020-01-22,Arizona,Hubei
2020-01-22,California,Hubei
2020-01-21,Illinois,Hubei
2020-01-29,Massachusetts,Hubei
2020-03-05,Minnesota,Grand Princess
2020-02-29,New York,Iran
2020-02-11,Texas,Hubei
2020-03-13,Utah,Diamond Princess
2020-03-13,Utah,Grand Princess
2020-01-19,Washington,Hubei
2020-02-27,Washington,South Korea
2020-01-31,Wisconsin,Hubei
2020-01-24,Thanh Hoa,Hubei
